,Symbol,Last Trade,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Impl. Volatility,Position,Ticker,percMove,speculativePercMove,prevDayVolatility,volatility,lastPrice
13,AFRM230714C00019000,2023-06-08 03:48:32 pm,19.0,2.24,2.2,2.25,1.12,100.0,10,7.0,0.973633076171875,Short Call,AFRM,-0.16,-0.0,0.42,0.45,18.85
0,GME230714C00022000,2023-06-08 03:02:29 pm,22.0,1.73,1.37,1.79,-3.42,-66.40777,74,14.0,0.6796907031250001,Long Call,GME,0.18,0.01,0.39,0.44,21.44
6,BYND230714P00012500,2023-06-02 01:20:10 pm,12.5,2.91,1.8,2.23,0.0,0.0,5,5.0,1.39453427734375,Long Put,BYND,-0.2,-0.01,0.32,0.38,12.88
0,SLDP230721C00002500,2023-06-08 02:28:44 pm,2.5,0.1,0.05,0.2,-0.20000002,-66.66667,142,309.0,0.937500625,Long Call,SLDP,0.16,0.01,0.36,0.4,2.07
3,DBI230721P00009000,2023-06-08 03:57:44 pm,9.0,0.75,0.65,0.85,-1.6500001,-68.75,1474,677.0,0.5468795312500001,Long Put,DBI,-0.2,-0.01,0.29,0.34,8.65
1,VRM230721P00001000,2023-06-08 03:53:42 pm,1.0,0.11,0.1,0.12,-0.040000007,-26.666672,976,2199.0,1.203128984375,Long Put,VRM,-0.21,-0.01,0.32,0.37,1.15
0,HCP230721C00020000,2023-06-08 03:57:26 pm,20.0,6.11,5.8,6.2,-7.69,-55.72464,79,38.0,0.5820354296875,Long Call,HCP,0.26,0.04,0.26,0.4,25.78
0,SMAR230721C00030000,2023-06-08 03:57:31 pm,30.0,10.85,10.5,11.0,-8.549999,-44.072163,10,22.0,0.6425816992187501,Long Call,SMAR,0.17,0.01,0.26,0.33,40.44
0,KZR230721C00002500,2023-04-05 09:36:53 am,2.5,0.55,0.3,0.75,0.0,0.0,5,3.0,1.609376953125,Long Call,KZR,0.15,0.0,0.45,0.48,2.47
0,DBD230721P00002500,2023-05-26 10:50:19 am,2.5,2.3,0.0,0.0,0.0,0.0,3,4.0,1.0000000000000003e-05,Long Put,DBD,-8.26,-0.9999,3.08,3.21,0.25
0,MIMO231020P00002500,2023-06-08 02:05:28 pm,2.5,2.25,2.15,2.55,0.75,50.0,36,50.0,3.6250009375000003,Long Put,MIMO,-0.74,-0.19,0.57,0.82,0.23
