,Ticker,Position,percMove,spec_price,volume,speculativePercMove,prevDayVolatility,volatility,lastPrice
0,INO,Short,0.2,0.4653,9653990.952380951,-0.01,0.43,0.47,0.47
0,FREY,Short,0.2,8.9892,2145846.253968254,-0.01,0.25,0.31,9.08
0,OSTK,Short,0.2,30.2643,1774090.5238095238,-0.01,0.35,0.39,30.57
0,IMUX,Short,0.19,2.2769999999999997,1295712.7301587302,-0.01,0.43,0.47,2.3
0,CYXT,Short,1.95,0.07,12667432.918032788,-0.0,1.37,1.37,0.07
0,SBNY,Short,0.8,0.20159999999999997,4430936.354838709,-0.16,0.79,0.99,0.24
0,ALLR,Short,41.46,5.856000000000001,3786760.8387096776,-0.9999,0.9,3.92,7.32
0,DBD,Short,3.94,0.2,3325293.573770492,-0.9999,3.12,3.12,0.25
0,SI,Short,1.32,1.25,2209065.3114754097,-0.0,1.14,1.14,1.25
0,MRAI,Short,3.25,1.6640000000000001,1724772.8709677418,-0.9999,0.98,1.77,2.08
0,QTEK,Short,2.39,0.05600000000000001,1601763.6557377048,-0.9999,1.57,1.57,0.07
